runtime,in01,in02,in03,in04,in05,in06,in07
4,18,1.5,0.8,0.0015,0.001,1,0
242,150,1.5,0.8,0.0015,0,1,0
237,48.85,1.5,0.8,0.0015,0.001,1,0
234,98.2359661,1.5,0.8,0.0015,0.001,1,0
255,90,1.5,0.8,0.0015,0.0015,1,0
240,96.5,1.5,0.8,0.0015,0,1,0
275,48.7,1.5,0.8,0.0015,0.001,1,0
236,50,1.5,0.8,0.0015,0.002,1,0
323,40,1.5,0.8,0.0015,0.001,1,0
215,95.9,1.5,0.8,0.0015,0.001,1,0
268,102.6,1.5,0.8,0.003,0,1,0
251,74,1.5,0.8,0.0015,0.001,1,0
4,145.103952,1.5,0.8,0.0015,0,1,0
247,120,1.5,0.8,0.0015,0,30,0
294,135,1.5,0.8,0.0015,0,1,0
369,15,1.5,0.8,0.0015,0.05,1,0
286,48.1,1.5,0.8,0.0015,0.002,1,0
235,72.29578947,1,0.8,0.0015,0,1,0
230,45,1.5,0.8,0.0015,0,5,0
244,106,1.5,0.8,0.0015,0.02,1,0
245,48.1,1.5,0.8,0.0015,0.0015,1,0
218,48.34,1,1,0.0015,0,1,0
240,72.53526316,1,0.8,0.0015,0,1,0
260,145,1.5,0.8,0.0015,0,1,0
224,119,1.5,0.8,0.0015,0,1,0
243,48.3,1.5,0.8,0.0015,0.001,1,0
238,48.367983,1.5,0.8,0.0015,0,1,0
235,96.8,1.5,0.8,0.0015,0,1,0
271,48.4,1.5,0.8,0.0015,0.01,1,0
5,33.69473684,1.5,0.8,0.0015,0,1,0
286,90,1.5,0.8,0.0015,0.003,1,0
246,100,1.5,0.8,0.0015,0,1,0
355,57.4,1.5000001,0.8,0.0015,0.01,1,0
241,96.73931579,1.5,0.8,0.0015,0,1,0
279,35,1.5,0.8,0.0015,0,1,0
230,50.3,1.5,0.8,0.0015,0.005,1,0
276,48.368,1.5,0.8,0.0015,0,0.1,0
262,49,1.5,0.8,0.0015,0.017,1,0
289,48.65789474,1.5,0.8,0.0015,0.0005,1,0
255,99.973,1.5,0.8,0.0015,0,1,0
240,48.4,1.5,0.8,0.0015,0.003,1,0
274,49.4,1.5,0.8,0.0015,0,1,0
241,96.736021,1.5,0.8,0.0015,0,1,0
260,120,1.5,0.8,0.0015,0,10,0
282,57.36842105,1.5,0.8,0.0015,0.002,1,0
