runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19
121,A04,0.2,3000000,0.000001,3000,3,1,1,1,2,0,0,0,0,0,0,0,0,0
362,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,18
122,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
13621,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
124,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
1265,A04,0.2,3000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
40884,A11,0.2,3000000,0.000001,60000,3,1,1,10,0,2,4,6,8,10,12,14,16,18
174,A06,0.2,3000000,0.000001,3000,3,1,1,1,15,15,15,15,15,15,15,15,15,15
3193,A04,0.2,6636600,0.000001,3000,3,1,1,8,-20,10,5,4,20,6,7,-10,0,0
16447,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
127,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
360,A03,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
16614,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
531,A08,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
10416,A08,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
4016,A04,0.2,3000000,0.000001,3000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
1126,A04,0.2,3000000,0.000001,3000,10,1,1,9,0,2,4,6,8,10,12,14,16,0
342,A07,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
3640,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
24483,A06,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
404,A06,0.2,3000000,0.000001,3000,3,1,1,1,8,0,0,0,0,0,0,0,0,0
41420,A06,0.04,40000,0.00001,50000,3,5,4,10,3,7,18,20,22,25,30,35,40,45
1413,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1576,A04,0.2,6500000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
573,A06,0.5,3000000,0.000001,3000,30,1,3,10,0,5,10,15,25,30,35,40,45,50
422,A07,0.0034,155719,0.000001,3000,30,1,1,1,0,10,20,30,40,50,60,70,75,80
802,A04,0.5,5000000,0.00001,10000,3,1,1,1,-8,-6,-4,-2,0,2,4,6,8,10
20865,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,5,6,7,8,9,10
21002,A06,0.13,130000,0.00001,60000,3,1,4,10,20,22,24,26,29,32,35,38,41,45
5018,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
2817,A06,0.2,3000000,0.000001,5000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
203,A01,0.0034,155719,0.000001,3000,30,1,1,1,-10,-5,0,5,10,15,20,25,30,35
135,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
580,A02,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
364,A02,0.0034,155719,0.000001,3000,30,1,1,1,30,30,30,30,30,30,30,30,30,30
145,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,18
637,A04,0.2,3000000,0.000001,3000,3,1,1,5,10,12,14,16,18,0,0,0,0,0
20179,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1962,A04,0.35,3000000,0.000001,3000,3,1,1,8,-10,-5,0,5,10,15,20,25,0,0
152,A05,0.0034,155719,0.000001,3000,30,1,1,1,30,30,0,0,0,0,0,0,0,0
15067,A09,0.45,450000,0.00001,30000,3,1,4,10,-2,0,2,4,6,8,10,12,14,16
134,A06,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
21855,A06,0.04,40000,0.00001,50000,10,1,4,10,13,15,17,19,21,23,27.5,32.5,37.5,42.5
6882,A05,0.2,3000000,0.000001,30000,3,1,1,1,0,1,2,3,4,0,0,0,0,0
145,A06,0.5,3000000,0.000001,3000,3,1,1,1,2,4,6,8,10,12,14,16,18,20
151,A12,0.0034,155719,0.000001,3000,30,1,1,1,-10,-5,0,5,10,15,20,25,30,35
204,A03,0.4,3000000,0.000001,3000,10,5,1,1,10,12,45,453,378,30.783,0,0,783,0
3933,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
27502,A02,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
2810,A04,0.2,3000000,0.000001,50000,3,1,1,1,7,0,0,0,0,0,0,0,0,0
182,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
21835,A04,0.2,3000000,0.000001,30000,3,1,1,10,2,3,4,5,6,7,8,9,10,11
24254,A06,0.25,300000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
24479,A05,0.2,3000000,0.000001,30000,3,1,1,10,1,2,3,4,0,0,0,0,0,0
112,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
1302,A06,0.2,3000000,0.000001,3000,30,1,3,10,16,17,18,19,20,21,22,23,24,25
354,A09,0.0588,2080000,0.0000001,5000,30,1,1,1,-20,5,10,15,20,25,30,35,0,0
452,A06,0.2,3000000,0.000001,3000,3,1,1,1,12,0,0,0,0,0,0,0,0,0
530,A04,0.2,3000000,0.000001,3000,3,1,1,2,0,2,0,0,0,0,0,0,0,0
27750,A03,0.0588,40166,0.0000001,50000,30,1,1,8,0,5,10,15,20,25,30,35,0,0
17597,A09,0.4,2080000,0.000001,50000,30,1,1,10,0,5,10,15,20,25,30,35,40,45
1114,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
8431,A11,0.3,300000,0.00001,60000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
59646,A12,0.4,2080000,0.000001,50000,30,1,1,10,0,5,10,15,20,25,30,35,40,45
5621,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
9287,A10,0.5,500000,0.00001,50000,3,1,4,10,0,1,2,3,4,5,6,7,8,9
1347,A04,0.1,6000000,0.000001,3000,3,1,1,3,1,2,3,0,0,0,0,0,0,0
92,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
136,A12,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
7445,A05,0.2,3000000,0.000001,30000,3,1,1,1,0,1,2,3,4,5,0,0,0,0
16863,A04,0.2,3000000,0.000001,30000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
156,A12,0.24,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
288,A01,0.0034,155719,0.000001,3000,30,1,1,1,20,20,20,20,20,20,20,20,20,20
9222,A11,0.5,500000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
123,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,5,10,15,20,25,30,35,40,45
9741,A06,0.15,180000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
128,A02,0.11,2400,0.000001,3000,30,1,1,1,0,0,0,0,0,0,0,0,0,0
941,A04,0.2,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
16965,A06,0.35,280000,0.00001,50000,3,1,4,10,10,11,12,13,14,15,16,17,18,19
1314,A06,0.2,3000000,0.000001,3000,30,1,3,10,0,5,10,15,20,25,30,35,40,45
29990,A06,0.2,3000000,0.000001,30000,3,1,1,10,0,2,4,6,8,10,12,14,16,0
193,A06,0.2,3000000,0.000001,3000,3,1,1,1,1,1,1,1,1,1,1,1,1,1
1219,A04,0.2,7632000,0.000001,3000,3,1,1,9,-20,-15,-10,-5,0,5,10,15,20,0
12,A06,0.5,3000000,0.000001,3000,30,1,3,9,50,55,60,65,70,75,80,85,90,0
150,A12,0.34,3000000,0.000001,3000,3,1,1,1,0,0,0,0,0,0,0,0,0,0
3080,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
6130,A04,0.2,3000000,0.000001,10000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1267,A06,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
1022,A04,0.2,3000000,0.000001,3000,3,1,1,9,0,2,4,6,8,10,12,14,16,0
2068,A04,0.2,3000000,0.000001,30000,3,1,1,1,0,2,4,6,8,10,12,14,16,0
