runtime,in01,in02,in03,in04
3586,38.18,90,0,115.84
1195,38.5,90,0,102.147
4160,38,85,90,50
6071,38,90,90,43
11180,38.7,82.69,12.69,75.6
3992,37,82.69,12.69,84.1
6360,38,0,0,-49
5227,38.7,40,110,-120
2289,38.2,90,0,100
11604,38.7,70,0,63
3508,34.5,82.69,12.69,84.1
1794,37,45,0,19.4
4348,38,85,0,85
1315,38.5,67.69,12.69,54
1414,38.05,65.15,0,55
4645,38.4,90,12.69,73
4624,38.4,70,0,61
2036,37.8,0,0,-55
14281,37.9,45,12.69,0
994,37.5,0,90,102.1
7506,37.8,-135,180,-161
1747,38.7,74,0,70.13
17483,38.7,89,0.5,100
1464,37.7,80,0,110
868,38.7,82.69,12.69,84.1
3338,38.7,83,12.69,84.1
8912,38.3,90,0,106
760,38.5,90,0,102.2
4758,38.2,90,0,100
857,39,102,0,125
1897,38.5,90,0,102.1
4825,38.7,89.89,19.89,82.38
5594,38.3,90,0,102.4
815,38.5,90,0,101.275
1053,37.7,13,30,-80
989,28,82.69,12.69,84.1
758,38,60,0,45
3452,38.5,87.69,12.69,83.1
1881,38,70,0,84.1
995,19.28,0,78.2,84.1
2214,10,90,0,0
1202,38,90,0,97.162
2174,38.7,90,12.69,85
13893,37.9,45,0,18
378,30,0,0,-35
4094,39,30,0,30
3788,36.2,80,0,0
988,37.78,0,0,180
1615,36,0,0,89.06
2474,30,60,135,30
8259,38.7,82.69,12.69,76.1
2182,37,0,0,-35
431,38.7,90,12.69,88.45
8724,37.5,-43,0,-122.3
15753,37.5,90,0,60.4
735,38.7,82.69,12.69,84.1
815,38.165,90,0,97.143
7783,38.7,60,-10.01,53.68
2811,38,0,30,-5.1
13035,37.7,72.69,12.69,14.1
1388,39,0,0,180
4047,38.05,-90,0,98
4809,38.9,90,0,100.8
2189,15,82.69,12.69,84.1
937,38.5,90,0,-145
991,37.9,45,0,19
2173,38.03,90,0,97.9
1523,38.7,-82.69,12.69,150
7401,37.7,0,0,-56.4
4265,37.9,100,90,58
1512,37.78,0,0,-50.307
935,39,90,0,101.08
1148,38.3,83.75,14.01,76.1
1713,39,0,12.69,84.1
4567,37.6,0,0,-61.5
2737,17,120,0,90
5229,38.7,82.69,12.69,76.5
974,38.7,82.69,12.69,84.1
8203,39,82.69,12.69,84.1
1250,38.05,68,0,55
6930,38.1,90,0,104.3
3525,39,-180,-180,-40
2142,38.64,82.69,12.69,75.4
1304,38.05602,-90,0,101.9558753
4764,38,5,0,-35
1940,38,82.69,12.69,73.9
1362,37.75,0,0,-51.8
1180,38,82.69,12.69,76
2373,38,82,12,68.8
10117,38.7,82.69,12.69,84.1
4932,38.7,-90,110,25
2310,38.05,60,0,90
1780,38,44.5,0,19
4056,38.5,143,74,132
7904,38.7,82.69,12.69,-90
861,39,-30,0,-85.5
4829,37.9,-79,-50,-146
4396,38.1,88,8.4,84.95
6616,20,87.65,13.86,83.24
5012,38.5,87.69,12.69,85.1
1795,39,66,0,57
1038,38.7,82.69,12.69,84.1
3131,20,70,0,-60
168,28,-120,70,84.1
1886,38.46,90,0,102
877,39,80,0,80.5
986,37,82.69,20,73
3993,38,65.67,0,55
5216,37.7,0,0,-54.6
4872,38.2,80,0,81.6
771,37.7,150,0,-113
2169,39,90,0,-135
2293,35,179,90,180
1438,38.7,0,0,-35.1
16385,37,85,12.69,84.1
7748,37.8,95,12.69,84.1
2238,38,82.69,12.69,75
