runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16
5,100000,0,tn2006,G229D,2,0.05,30,180,30,88000010,600,0.1,-73,-10,1.8,current
56,100000,0,tn2006,V241F,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
46,40000,0,tn2006,ori,2,0.05,10,500,30,200,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,30,260,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,S140G,3,0.05,30,260,30,10000,600,0.1,-73,-10,1.8,current
48,100000,0,tn2006,V241F,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
7,1040000,0,tn2006,V241F,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
19,100000,0,tn2006,ori,1,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
47,40000,0,tn2006,V241F,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
55,100000,0,tn2006,G229D,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
57,100000,0,tn2006,V241F,3,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
9,100000,0,tn2006,ori,1,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
43,100000,0,tn2006,ori,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
51,100000,0,tn2006,ori,1,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,20,260,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,V241F,3,0.05,30,140,30,500,600,0.1,-73,-10,1.8,current
304,100000,0,tn2006,V241F,1,0.1,30,4000,20,0,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
61,100000,0,tn2006,ori,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
56,40000,0,tn2006,V241F,1,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
3,100000,0,tn2006,ori,1,0.05,30,240,30,88000010,600,0.1,-73,-10,1.8,current
53,100000,0,tn2006,ori,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
4,40000,0,tn2006,ori,3,0.05,30,250,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,G229D,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,3,0.05,20,260,20,10000,600,0.1,-73,-10,1.8,current
39,100000,0,tn2006,ori,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,20,260,30,100000,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,S140G,1,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
9,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,1,0.1,1,450,30,88000010,600,0.1,-73,-10,1.8,current
39,100000,0,tn2006,ori,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
33,100000,0,tn2006,ori,2,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
171,100000,0,tn2006,ori,2,0.1,30,4000,30,500,600,0.1,-73,-10,1.8,current
53,100000,0,tn2006,ori,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
189,100000,0,tn2006,ori,2,0.1,30,4000,30,88000010,600,0.1,-73,-10,1.8,current
244,100000,0,tn2006,ori,1,0.1,30,4000,30,200,600,0.1,-73,-10,1.8,current
41,100000,0,tn2006,S140G,1,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
9,100000,0,tn2006,ori,3,0.05,30,240,30,1000,600,0.1,-73,-10,1.8,current
182,100000,0,tn2006,ori,1,0.1,30,4000,30,300,600,0.1,-73,-10,1.8,current
58,40000,0,tn2006,ori,1,0.05,20,1000,30,88000010,600,0.1,-73,-10,1.8,current
56,100000,0,tn2006,G229D,2,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
188,100000,0,tn2006,ori,3,0.1,30,4000,30,0,600,0.1,-73,-10,1.8,current
46,100000,0,tn2006,V241F,3,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
46,40000,0,tn2006,ori,3,0.05,10,500,30,200,600,0.1,-73,-10,1.8,current
5,40000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,V241F,3,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
39,100000,0,tn2006,ori,2,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,3,0.05,30,260,20,10000,600,0.1,-73,-10,1.8,current
52,40000,0,tn2006,ori,1,0.05,10,500,30,200,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
6,100000,0,tn2006,V241F,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
5,100000,0,tn2006,ori,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
37,100000,0,tn2006,ori,2,0.1,40,4000,30,88000010,600,0.1,-73,-10,1.8,current
211,100000,0,tn2006,ori,1,0.1,30,4000,30,200,600,0.1,-73,-10,1.8,current
50,100000,0,tn2006,ori,3,0.05,30,1000,20,100,600,0.1,-73,-10,1.8,current
4,100000,0,tn2006,ori,1,0.05,20,800,30,88000010,600,0.1,-73,-10,1.8,current
11,100000,0,tn2006,G229D,2,0.05,30,1000,30,88000010,600,0.1,-73,-10,1.8,current
39,100000,0,tn2006,ori,1,0.05,30,1000,30,100,600,0.1,-73,-10,1.8,current
