runtime,in01,in02,in03,in04,in05,in06,in07,in08,in09,in10,in11,in12,in13,in14,in15,in16,in17,in18,in19,in20,in21,in22,in23,in24,in25,in26,in27,in28,in29,in30
4663,38,4,300,0.35,-0.35,5,80,0.35,-0.35,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5209,38,4,300,0.35,-0.35,5,80,0.35,-0.35,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
18619,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.3,0.3,3.564,3.575,-0.2,0.2,0.05,10000000,1000000
3033,38,4,300,0.08,-0.08,5,80,0.08,-0.08,3,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4907,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2,0.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5558,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.584,2.586,-0.2,0.2,0.05,10000000,1000000
10434,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.05,0.05,1.958,1.959,-0.2,0.2,0.05,50000000,10000000
3719,38,4,300,0.08,-0.08,5,80,0.08,-0.08,0.5,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
5209,38,4,300,0.15,-0.15,5,80,0.15,-0.15,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
6,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.35,0.35,3.703,3.713,-0.2,0.2,0.05,10000000,1000000
77489,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
112371,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,2,2,0.8,2,0.8,61,61,81,121,121,161,0.2,0.2,3.203,3.209,-0.2,0.2,0.05,100000000,50000000
1,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,80,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000000,50000000
4709,38,4,300,0.2,-0.2,5,80,0.2,-0.2,2.5,3,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.696,2.706,-0.2,0.2,0.05,10000000,1000000
1199,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,1500000,500000
3948,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
3757,38,4,300,0.08,-0.08,5,80,0.08,-0.08,1,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
4371,38,4,300,0.2,-0.2,5,80,0.2,-0.2,0.5,3,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.601,2.62,-0.2,0.2,0.05,10000000,1000000
326,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,150000,100000
3329,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2.5,1,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
237,38.8,2.5,300,0.2,-0.2,5,80,0.2,-0.2,1,1,1,0.5,2,1,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.02,110000,100000
2758,38,4,300,0.08,-0.08,5,80,0.08,-0.08,2.5,2.5,2,0.8,2,0.8,61,61,81,121,121,161,0.1,0.1,2.575,2.573,-0.2,0.2,0.05,10000000,1000000
